City,ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,County
Acampo,95220,550,33,479,5286,129,0,0,38,0,6515,71,1.09,93333.0,32.1,64.3,1.5,0.2,19.6,8251.0,719394.6,San Joaquin
Acton,93510,554,61,328,5873,272,0,3,79,0,7170,140,1.95,113056.0,28.6,65.3,2.3,1.0,27.1,7010.0,786072.36,Los Angeles
Adelanto,92301,254,61,1136,21144,495,1,5,75,0,23171,137,0.59,57714.0,67.4,10.4,1.3,15.7,5.6,37571.0,362195.17,San Bernardino
Agoura Hills,91301,365,840,544,17105,1360,19,3,420,0,20656,1279,6.19,142177.0,14.2,73.4,6.4,1.3,64.1,25737.0,1122028.5,Los Angeles
Aguanga,92536,178,13,159,2416,84,0,1,25,0,2876,38,1.32,65509.0,19.1,72.6,2.8,1.2,26.4,2401.0,539347.97,Riverside
Ahwahnee,93601,136,7,90,1464,38,0,0,11,0,1746,18,1.03,66961.0,7.2,85.8,0.0,0.0,11.2,1455.0,439141.66,Madera
Alameda,94502,537,1697,1211,43263,4311,32,17,992,0,52060,2721,5.74,145939.5,10.850000000000001,40.9,35.1,4.9,63.3,39160.0,1194616.385,Alameda
Alamo,94507,381,746,345,11712,714,9,2,280,0,14189,1035,7.29,250001.0,6.0,79.5,10.6,0.7,76.1,13906.0,2360618.55,Contra Costa
Albany,94706,117,440,159,9238,1420,8,8,309,0,11699,757,6.47,115712.0,13.1,44.3,28.2,4.2,73.7,20962.0,1152103.55,Alameda
Alhambra,91803,267,859,1148,51061,3271,54,10,833,0,57503,1746,3.0549999999999997,72916.5,36.95,8.85,49.65,1.9500000000000002,36.75,41599.5,839381.905,Los Angeles
Aliso Viejo,92656,408,1390,865,33499,2149,51,7,725,0,39094,2166,5.54,121275.0,20.1,56.1,15.5,2.5,55.8,53169.0,842530.99,Orange
Alpaugh,93201,35,0,61,680,6,0,0,2,0,784,2,0.26,36442.0,88.8,8.7,0.6,0.2,1.6,1283.0,150276.46,Tulare
Alpine,91901,853,135,793,12086,592,2,3,107,0,14571,244,1.68,105679.0,15.7,75.8,2.9,1.0,33.5,18367.0,874821.78,San Diego
Alta,95701,93,4,42,763,20,0,0,4,0,926,8,0.86,87625.0,3.8,92.2,1.7,0.5,36.2,1049.0,443743.61,Placer
Altadena,91001,278,891,753,24112,1947,18,5,537,0,28541,1446,5.07,114668.0,31.4,34.8,5.0,23.3,47.6,36867.0,1103053.47,Los Angeles
Alturas,96101,466,2,346,4243,61,0,0,2,0,5120,4,0.08,51634.0,14.7,77.6,0.1,2.8,15.9,5343.0,163611.71,Modoc
Alviso,95002,21,36,115,1550,61,0,0,17,0,1800,53,2.94,110536.0,65.6,16.3,12.6,1.6,24.9,2325.0,1095547.79,Santa Clara
American Canyon,94503,347,295,625,15934,848,2,2,204,0,18257,501,2.74,118143.0,30.4,19.9,33.2,7.5,33.1,21874.0,714074.2,Napa
Anaheim,92808,2663,3508,10293,235873,9132,156,136,2586,0,264347,6250,2.77,90467.85714285714,49.228571428571435,27.557142857142857,17.04285714285714,2.357142857142857,30.271428571428572,52346.71428571428,843684.0185714286,Orange
Anderson,96007,1463,29,1242,15852,419,0,0,41,0,19046,70,0.37,51227.0,14.7,75.5,1.2,0.5,14.8,24666.0,320668.82,Shasta
Angels Camp,95222,393,19,237,3938,119,0,0,20,0,4726,39,0.83,57000.0,6.6,84.7,0.1,0.8,23.5,5161.0,439677.39,Calaveras
Angwin,94508,134,35,90,1856,94,0,1,30,0,2240,65,2.9,111917.0,17.0,54.8,12.9,6.7,50.9,3680.0,877859.02,Napa
Antelope,95843,935,267,1293,29277,1891,16,1,267,0,33947,550,1.62,85787.0,16.6,56.7,12.2,8.6,23.6,48191.0,482296.05,Sacramento
Antioch,94531,1196,615,3904,74833,3357,13,6,648,0,84572,1276,1.595,89237.5,33.2,24.950000000000003,13.6,20.4,23.85,57368.0,602617.14,Contra Costa
Anza,92539,175,6,215,3058,42,0,0,8,0,3504,14,0.4,48954.0,36.7,55.5,3.4,0.1,15.7,4821.0,393652.86,Riverside
Apple Valley,92307,2009,276,3290,55693,1692,0,9,311,0,63280,587,0.9299999999999999,63430.0,38.849999999999994,47.45,2.8,6.199999999999999,18.15,41841.5,394156.675,San Bernardino
Applegate,95703,147,11,90,1493,63,0,0,11,0,1815,22,1.21,88882.0,8.2,83.4,0.7,2.6,36.8,1993.0,532707.31,Placer
Aptos,95003,560,560,677,17504,1479,2,0,376,0,21158,938,4.43,128833.0,13.5,77.3,3.1,0.6,54.3,25244.0,1341749.81,Santa Cruz
Arbuckle,95912,402,6,392,3933,76,0,1,14,0,4824,20,0.42,64667.0,64.7,30.0,0.0,0.0,12.3,4782.0,396823.58,Colusa
Arcadia,91006,337,1613,758,40728,2867,51,8,904,0,47266,2568,5.42,100578.0,17.5,21.1,55.35,1.5,52.95,33094.0,1244954.74,Los Angeles
Arcata,95521,584,132,565,11447,735,0,2,196,0,13661,328,2.4,43520.0,14.7,70.0,3.5,1.6,46.5,22259.0,454846.79,Humboldt
Armona,93202,68,2,203,2663,41,0,0,4,0,2981,6,0.2,53528.0,82.7,7.5,5.3,0.9,11.1,4491.0,245632.76,Kings
Arnold,95223,398,14,203,4505,93,0,0,12,0,5225,26,0.5,78403.0,6.1,89.5,3.4,0.0,39.9,2650.0,447112.2,Calaveras
Aromas,95004,236,49,223,3321,164,0,0,34,0,4027,83,2.06,116779.0,33.0,61.5,0.5,0.8,37.4,4280.0,884867.27,Monterey
Arroyo Grande,93420,1277,403,1355,22758,1325,1,2,284,0,27405,688,2.51,94315.0,14.1,73.7,3.3,1.2,39.8,31864.0,941058.55,San Luis Obispo
Artesia,90701,106,130,291,10341,466,8,4,83,0,11429,221,1.93,83321.0,34.0,15.2,38.6,7.0,30.6,16390.0,722062.09,Los Angeles
Arvin,93203,195,14,865,12147,131,1,2,30,0,13385,45,0.34,42857.0,95.2,3.0,1.0,0.5,3.1,20674.0,260947.48,Kern
Atascadero,93422,1603,270,1427,23469,1195,0,1,227,0,28192,497,1.76,84456.0,17.5,75.5,1.5,0.6,30.9,33195.0,712384.3,San Luis Obispo
